name,author,category,topic
Harry Potter,J.K. Rowling,12,T??ng t??ng
Sherlock Holmes,Arthur Conan Doyle,23,Bí ?n
l?p trình pthon,Hoàng Phan,3,L?p trình
Toán h?c c?n b?n,Nguy?n V?n An,23,Toán h?c
The Hobbit,J.R.R. Tolkien,12,T??ng t??ng
1984,George Orwell,15,Ph?n ??a ?àng
C++ Essentials,John Smith,3,L?p trình
Machine Learning Basics,Anna Brown,3,Trí tu? nhân t?o
The Art of War,Sun Tzu,10,Chi?n l??c
A Brief History of Time,Stephen Hawking,21,Khoa h?c
Pride and Prejudice,Jane Austen,18,Lãng m?n
Thu?t hùng bi?n,Dale Carnegie,11,T? l?c
To Kill a Mockingbird,Harper Lee,15,Ti?u thuy?t c? ?i?n
Programming with Java,Emily White,3,L?p trình
Linear Algebra,David Lay,23,Toán h?c
Modern Art Explained,Rachel Green,20,Ngh? thu?t
The Catcher in the Rye,J.D. Salinger,15,Ti?u thuy?t c? ?i?n
Big Data Analytics,James Allen,3,Khoa h?c d? li?u
Âm Thanh Và Cu?ng N? ,William Faulkner ,15,Ti?u thuy?t c? ?i?n
V? tr?,Carl Sagan,21,Thiên v?n h?c
